MTU,butterfly,distribution_trace_base_dir,fat_tree,forward_pass_as_bytes,fwd_pass_time,gpu_speedup,gradient_size,gswitch_inbuffer_size,gswitch_recv_rate,gswitch_send_rate,horovod,in_network_computation,inputs_as_bytes,iteration_time,json,latency,latency_distribution,latency_std,max_param_size,message_size,model_name,multi_step,num_gswitches,num_ps,num_workers,on_same_rack,optimal_param_distribution,ps_inbuffer_size,ps_recv_rate,ps_send_rate,real_distribution,scattercast,step_num,striping,timeout,topology,tor_inbuffer_size,tor_recv_rate,tor_send_rate,trace_base_dir,use_multicast,verbosity,worker_inbuffer_size,worker_receive_time,worker_recv_rate,worker_send_rate
1200000.0,0,distribution_csv/vgg16/,1,1,0.169,1.0,0.0,-1,10.0,10.0,0,0,0,10.520231507210553,json/vgg16_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1,vgg16,1,4,1,8,1,0,-1,10,10,0,0,24,1,3000.0,,-1,100.0,100.0,csv/vgg16/,0,0,-1,"[5.260049782396454, 5.260052985596454, 5.2600561887964545, 5.260059391996455, 5.260062595196455, 5.260065798396456, 5.260069001596456, 5.260163331196449]",10,10
1200000.0,0,distribution_csv/vgg16/,1,1,0.169,1.0,0.0,-1,10.0,10.0,0,0,0,9.052244902400956,json/vgg16_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1,vgg16,1,4,8,8,1,0,-1,10,10,0,0,24,1,3000.0,,-1,100.0,100.0,csv/vgg16/,0,0,-1,"[4.519487756797073, 4.519487759997073, 4.519487763197073, 4.519487769597074, 4.519487772797074, 4.519487775997074, 4.519487779197075, 4.5196077311970715]",10,10
1200000.0,0,distribution_csv/vgg16/,1,1,0.169,1.0,0.0,-1,10.0,10.0,0,0,0,21.040241468805092,json/vgg16_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1,vgg16,1,4,1,16,1,0,-1,10,10,0,0,24,1,3000.0,,-1,100.0,100.0,csv/vgg16/,0,0,-1,"[10.520066752010635, 10.520069955210635, 10.520073158410636, 10.520076361610636, 10.520079564810636, 10.520082768010637, 10.520085971210637, 10.520089174410638, 10.520092377610638, 10.520095580810638, 10.520101987210639, 10.52010519041064, 10.52010839361064, 10.52011159681064, 10.52011480001064, 10.520183452810628]",10,10
1200000.0,0,distribution_csv/vgg16/,1,1,0.169,1.0,0.0,-1,10.0,10.0,0,0,0,18.144840966428944,json/vgg16_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1,vgg16,1,4,8,16,1,0,-1,10,10,0,0,24,1,3000.0,,-1,100.0,100.0,csv/vgg16/,0,0,-1,"[9.038955507200921, 9.038955510400921, 9.038955516800922, 9.038955520000922, 9.038955523200922, 9.038955526400922, 9.038955529600923, 9.038955532800923, 9.038955536000923, 9.038955539200924, 9.038955542400924, 9.038955545600924, 9.038955548800924, 9.038955552000925, 9.038955555200925, 9.039075456000917]",10,10
1200000.0,0,distribution_csv/vgg16/,1,1,0.169,1.0,0.0,-1,10.0,10.0,0,0,0,42.08032312012872,json/vgg16_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1,vgg16,1,4,1,32,1,0,-1,10,10,0,0,24,1,3000.0,,-1,100.0,100.0,csv/vgg16/,0,0,-1,"[21.04010709760501, 21.040110300805008, 21.040113504005006, 21.040116707205005, 21.040119910405004, 21.040123113605002, 21.040126316805, 21.040129520005, 21.040132723204998, 21.040135926404997, 21.040139129604995, 21.040142332804994, 21.040145536004992, 21.04014873920499, 21.04015194240499, 21.040155145604988, 21.040158348804987, 21.040161552004985, 21.040164755204984, 21.040167958404982, 21.04017116160498, 21.04017436480498, 21.040177568004978, 21.040180771204977, 21.040183974404975, 21.040190380804972, 21.04019358400497, 21.04019678720497, 21.040199990404968, 21.040203193604967, 21.040206396804965, 21.040223696004993]",10,10
1200000.0,0,distribution_csv/vgg16/,1,1,0.169,1.0,0.0,-1,10.0,10.0,0,0,0,4.208106117121739,json/vgg16_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1,vgg16,1,4,1,8,1,0,-1,25,25,0,0,24,1,3000.0,,-1,100.0,100.0,csv/vgg16/,0,0,-1,"[2.1040306316815554, 2.1040319129615552, 2.104033194241555, 2.104034475521555, 2.104035756801555, 2.1040370380815547, 2.1040383193615546, 2.104077332481554]",25,25
1200000.0,0,distribution_csv/vgg16/,1,1,0.169,1.0,0.0,-1,10.0,10.0,0,0,0,3.6423967961630916,json/vgg16_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1,vgg16,1,4,8,8,1,0,-1,25,25,0,0,24,1,3000.0,,-1,100.0,100.0,csv/vgg16/,0,0,-1,"[1.807807102721258, 1.8078071040012582, 1.8078071052812583, 1.8078071065612584, 1.8078071078412585, 1.8078071091212586, 1.8078071116812588, 1.8078550924812573]",25,25
1200000.0,0,distribution_csv/vgg16/,1,1,0.169,1.0,0.0,-1,10.0,10.0,0,0,0,36.169037296002976,json/vgg16_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1,vgg16,1,4,8,32,1,0,-1,10,10,0,0,24,1,3000.0,,-1,100.0,100.0,csv/vgg16/,0,0,-1,"[18.07789100802937, 18.07789101122937, 18.07789101442937, 18.07789101762937, 18.07789102082937, 18.07789102402937, 18.07789102722937, 18.07789103042937, 18.07789103362937, 18.07789103682937, 18.07789104002937, 18.07789104642937, 18.077891049629372, 18.077891052829372, 18.077891056029372, 18.077891059229373, 18.077891062429373, 18.077891065629373, 18.077891068829373, 18.077891072029374, 18.077891075229374, 18.077891078429374, 18.077891081629375, 18.077891084829375, 18.077891088029375, 18.077891091229375, 18.077891094429376, 18.077891097629376, 18.077891100829376, 18.077891104029376, 18.077891107229377, 18.07801090562936]",10,10
1200000.0,0,distribution_csv/vgg16/,1,1,0.169,1.0,0.0,-1,10.0,10.0,0,0,0,5.917814342395882,json/vgg16_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1,vgg16,1,4,1,8,1,0,-1,10,10,0,0,24,1,3000.0,,-1,100.0,100.0,csv/vgg16/,1,0,-1,"[0.657645724800038, 0.657645724800038, 0.657645724800038, 0.657645724800038, 0.657645724800038, 0.657645724800038, 0.657645724800038, 0.657645724800038]",10,10
1200000.0,0,distribution_csv/vgg16/,1,1,0.169,1.0,0.0,-1,10.0,10.0,0,0,0,5.190344783996504,json/vgg16_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1,vgg16,1,4,8,8,1,0,-1,10,10,0,0,24,1,3000.0,,-1,100.0,100.0,csv/vgg16/,1,0,-1,"[0.6576007488000377, 0.6576007488000377, 0.6576007488000377, 0.6576007488000377, 0.6576007488000377, 0.6576007488000377, 0.6576007488000377, 0.6576007488000377]",10,10
